title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
annie hall,1977,4142.0,8994.0,4.0,5.0,0.3153166869671133,0.6846833130328868,0.4444444444444444,0.5555555555555556,1798.8,1035.5,m,True,True,False,True,1,1,0,1,Acting
apocalypse now,1979,564.0,20250.0,1.0,16.0,0.027097146151628712,0.9729028538483713,0.058823529411764705,0.9411764705882353,1265.625,564.0,m,True,False,False,False,1,0,0,0,Acting
argo,2012,345.0,8919.0,2.0,16.0,0.03724093264248705,0.9627590673575129,0.1111111111111111,0.8888888888888888,557.4375,172.5,m,True,False,False,False,1,0,0,0,Acting
arthur,1981,4841.0,8921.0,4.0,4.0,0.35176573172503994,0.64823426827496,0.5,0.5,2230.25,1210.25,m,True,False,True,False,2,0,1,0,Acting
as good as it gets,1997,8458.0,15860.0,4.0,8.0,0.34780820791183487,0.6521917920881651,0.3333333333333333,0.6666666666666666,1982.5,2114.5,f,True,True,True,True,2,1,1,1,Acting
atonement,2007,3379.0,2740.0,7.0,5.0,0.5522144141199542,0.44778558588004574,0.5833333333333334,0.4166666666666667,548.0,482.7142857142857,m,False,True,False,False,0,1,0,0,Acting
august osage county,2013,11625.0,3380.0,7.0,6.0,0.7747417527490836,0.22525824725091637,0.5384615384615384,0.46153846153846156,563.3333333333334,1660.7142857142858,f,False,True,False,False,0,2,0,0,Acting
awakenings,1990,2417.0,9503.0,6.0,9.0,0.20276845637583893,0.797231543624161,0.4,0.6,1055.888888888889,402.8333333333333,m,True,False,False,False,1,0,0,0,Acting
babel,2006,4118.0,11836.0,6.0,23.0,0.25811708662404415,0.7418829133759559,0.20689655172413793,0.7931034482758621,514.6086956521739,686.3333333333334,f,False,True,False,False,0,2,0,0,Acting
bad day at black rock,1955,998.0,17282.0,1.0,10.0,0.05459518599562363,0.9454048140043764,0.09090909090909091,0.9090909090909091,1728.2,998.0,m,True,False,False,False,1,0,0,0,Acting
barton fink,1991,505.0,9395.0,1.0,10.0,0.05101010101010101,0.9489898989898989,0.09090909090909091,0.9090909090909091,939.5,505.0,m,True,False,False,False,1,0,0,0,Acting
beasts of the southern wild,2012,2325.0,1706.0,4.0,3.0,0.576779955346068,0.42322004465393204,0.5714285714285714,0.42857142857142855,568.6666666666666,581.25,f,False,True,False,False,0,1,0,0,Acting
being john malkovich,1999,3931.0,6344.0,4.0,6.0,0.3825790754257907,0.6174209245742093,0.4,0.6,1057.3333333333333,982.75,m,False,True,False,False,0,1,0,0,Acting
being there,1979,5850.0,15418.0,6.0,14.0,0.27506112469437655,0.7249388753056235,0.3,0.7,1101.2857142857142,975.0,m,True,False,True,False,2,0,1,0,Acting
big,1988,3290.0,8568.0,2.0,4.0,0.27744982290436837,0.7225501770956316,0.3333333333333333,0.6666666666666666,2142.0,1645.0,m,True,False,False,False,1,0,0,0,Acting
birdman or the unexpected virtue of ignorance,2014,3023.0,6884.0,5.0,5.0,0.3051377813667104,0.6948622186332896,0.5,0.5,1376.8,604.6,m,True,True,False,False,2,1,0,0,Acting
black swan,2010,2444.0,1947.0,4.0,1.0,0.5565930312001822,0.44340696879981784,0.8,0.2,1947.0,611.0,m,False,True,False,True,0,1,0,1,Acting
blazing saddles,1974,309.0,4753.0,1.0,9.0,0.061043065981825365,0.9389569340181746,0.1,0.9,528.1111111111111,309.0,m,False,True,False,False,0,1,0,0,Acting
blood diamond,2006,1206.0,5075.0,2.0,9.0,0.19200764209520776,0.8079923579047922,0.18181818181818182,0.8181818181818182,563.8888888888889,603.0,f,True,False,False,False,2,0,0,0,Acting
blue jasmine,2013,2747.0,884.0,3.0,4.0,0.7565408978242908,0.24345910217570918,0.42857142857142855,0.5714285714285714,221.0,915.6666666666666,f,False,True,False,True,0,2,0,1,Acting
blue valentine,2010,2694.0,5025.0,4.0,7.0,0.3490089389817334,0.6509910610182666,0.36363636363636365,0.6363636363636364,717.8571428571429,673.5,m,False,True,False,False,0,1,0,0,Acting
bonnie and clyde,1967,5902.0,12996.0,2.0,8.0,0.31230818075986877,0.6876918192401312,0.2,0.8,1624.5,2951.0,f,True,True,False,True,3,2,0,1,Acting
boogie nights,1997,3974.0,13930.0,8.0,16.0,0.2219615728328865,0.7780384271671135,0.3333333333333333,0.6666666666666666,870.625,496.75,m,True,True,False,False,1,1,0,0,Acting
born on the fourth of july,1989,528.0,5422.0,2.0,9.0,0.08873949579831933,0.9112605042016807,0.18181818181818182,0.8181818181818182,602.4444444444445,264.0,m,True,False,False,False,1,0,0,0,Acting
boyhood,2014,5926.0,10675.0,9.0,10.0,0.35696644780434916,0.6430335521956508,0.47368421052631576,0.5263157894736842,1067.5,658.4444444444445,m,True,True,False,True,1,1,0,1,Acting
breaking away,1979,1795.0,8814.0,4.0,9.0,0.1691959656895089,0.8308040343104911,0.3076923076923077,0.6923076923076923,979.3333333333334,448.75,m,False,True,False,False,0,1,0,0,Acting
bridesmaids,2011,9010.0,2014.0,8.0,5.0,0.8173076923076923,0.18269230769230768,0.6153846153846154,0.38461538461538464,402.8,1126.25,f,False,True,False,False,0,1,0,0,Acting
bridge of spies,2015,272.0,8959.0,1.0,15.0,0.029465930018416207,0.9705340699815838,0.0625,0.9375,597.2666666666667,272.0,m,True,False,True,False,1,0,1,0,Acting
broadcast news,1987,9556.0,19462.0,4.0,9.0,0.32931284030601693,0.6706871596939831,0.3076923076923077,0.6923076923076923,2162.4444444444443,2389.0,f,True,True,False,False,2,1,0,0,Acting
brokeback mountain,2005,411.0,3011.0,2.0,3.0,0.1201052016364699,0.8798947983635301,0.4,0.6,1003.6666666666666,205.5,m,True,True,False,False,2,1,0,0,Acting
brooklyn,2015,6848.0,3285.0,12.0,5.0,0.6758117043323794,0.32418829566762064,0.7058823529411765,0.29411764705882354,657.0,570.6666666666666,m,False,True,False,False,0,1,0,0,Acting
bullets over broadway,1994,1683.0,3635.0,3.0,7.0,0.3164723580293343,0.6835276419706656,0.3,0.7,519.2857142857143,561.0,f,True,True,False,True,1,2,0,1,Acting
cabaret,1972,3278.0,2057.0,3.0,5.0,0.6144329896907217,0.38556701030927837,0.375,0.625,411.4,1092.6666666666667,f,True,True,True,True,1,1,1,1,Acting
cape fear,1991,2237.0,5281.0,3.0,6.0,0.29755254056930036,0.7024474594306996,0.3333333333333333,0.6666666666666666,880.1666666666666,745.6666666666666,m,True,True,False,False,1,1,0,0,Acting
capote,2005,3472.0,19022.0,5.0,11.0,0.15435227171690227,0.8456477282830978,0.3125,0.6875,1729.2727272727273,694.4,m,True,True,True,False,1,1,1,0,Acting
captain phillips,2013,487.0,6618.0,2.0,9.0,0.0685432793807178,0.9314567206192822,0.18181818181818182,0.8181818181818182,735.3333333333334,243.5,m,True,False,False,False,1,0,0,0,Acting
carol,2015,6741.0,2603.0,4.0,7.0,0.7214255136986302,0.2785744863013699,0.36363636363636365,0.6363636363636364,371.85714285714283,1685.25,f,False,True,False,False,0,2,0,0,Acting
casino,1995,9734.0,57944.0,10.0,26.0,0.14382812730872663,0.8561718726912734,0.2777777777777778,0.7222222222222222,2228.6153846153848,973.4,m,False,True,False,False,0,1,0,0,Acting
cast away,2000,867.0,4956.0,3.0,4.0,0.14889232354456466,0.8511076764554354,0.42857142857142855,0.5714285714285714,1239.0,289.0,m,True,False,False,False,1,0,0,0,Acting
catch me if you can,2002,1688.0,8913.0,4.0,7.0,0.15923026129610415,0.8407697387038958,0.36363636363636365,0.6363636363636364,1273.2857142857142,422.0,m,True,False,False,False,1,0,0,0,Acting
changeling,2008,4177.0,8895.0,4.0,17.0,0.31953794369645044,0.6804620563035496,0.19047619047619047,0.8095238095238095,523.2352941176471,1044.25,f,False,True,False,False,0,1,0,0,Acting
chaplin,1992,591.0,6435.0,3.0,10.0,0.08411614005123826,0.9158838599487618,0.23076923076923078,0.7692307692307693,643.5,197.0,m,True,False,False,False,1,0,0,0,Acting
chinatown,1974,1992.0,9701.0,2.0,8.0,0.17035833404601045,0.8296416659539896,0.2,0.8,1212.625,996.0,m,True,True,False,False,1,1,0,0,Acting
chocolat,2000,3254.0,3224.0,6.0,6.0,0.5023155294844087,0.4976844705155912,0.5,0.5,537.3333333333334,542.3333333333334,f,False,True,False,False,0,2,0,0,Acting
citizen kane,1941,2240.0,11447.0,2.0,12.0,0.16365894644553225,0.8363410535544678,0.14285714285714285,0.8571428571428571,953.9166666666666,1120.0,f,True,False,False,False,1,0,0,0,Acting
coal miners daughter,1980,4560.0,4680.0,2.0,6.0,0.4935064935064935,0.5064935064935064,0.25,0.75,780.0,2280.0,f,False,True,False,True,0,1,0,1,Acting
cold mountain,2003,12274.0,11568.0,9.0,14.0,0.5148058048821408,0.4851941951178592,0.391304347826087,0.6086956521739131,826.2857142857143,1363.7777777777778,f,True,True,False,True,1,1,0,1,Acting
collateral,2004,1616.0,9768.0,3.0,13.0,0.14195361911454674,0.8580463808854533,0.1875,0.8125,751.3846153846154,538.6666666666666,m,True,False,False,False,1,0,0,0,Acting
cool hand luke,1967,428.0,10122.0,1.0,15.0,0.04056872037914692,0.9594312796208531,0.0625,0.9375,674.8,428.0,m,True,False,True,False,2,0,1,0,Acting
crazy heart,2009,1537.0,9029.0,1.0,10.0,0.14546659095211054,0.8545334090478894,0.09090909090909091,0.9090909090909091,902.9,1537.0,f,True,True,True,False,1,1,1,0,Acting
dallas buyers club,2013,1138.0,6225.0,2.0,9.0,0.15455656661686812,0.8454434333831319,0.18181818181818182,0.8181818181818182,691.6666666666666,569.0,m,True,False,True,False,2,0,2,0,Acting
dances with wolves,1990,1498.0,14036.0,3.0,16.0,0.09643362945796317,0.9035663705420368,0.15789473684210525,0.8421052631578947,877.25,499.3333333333333,m,True,True,False,False,2,1,0,0,Acting
dead poets society,1989,1036.0,22390.0,3.0,14.0,0.044224366088960985,0.955775633911039,0.17647058823529413,0.8235294117647058,1599.2857142857142,345.3333333333333,m,True,False,False,False,1,0,0,0,Acting
