title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
magnolia,1999,8466.0,33024.0,12.0,24.0,0.20404916847433116,0.7959508315256688,0.3333333333333333,0.6666666666666666,1376.0,705.5,m,True,False,False,False,1,0,0,0,Acting
malcolm x,1992,859.0,8054.0,3.0,7.0,0.0963760798833165,0.9036239201166835,0.3,0.7,1150.5714285714287,286.3333333333333,m,True,False,False,False,1,0,0,0,Acting
maria full of grace,2004,5364.0,2635.0,8.0,9.0,0.6705838229778722,0.3294161770221278,0.47058823529411764,0.5294117647058824,292.77777777777777,670.5,f,False,True,False,False,0,1,0,0,Acting
mash,1970,593.0,13376.0,1.0,12.0,0.042451141814016755,0.9575488581859832,0.07692307692307693,0.9230769230769231,1114.6666666666667,593.0,m,False,True,False,False,0,1,0,0,Acting
melvin and howard,1980,1448.0,3415.0,3.0,5.0,0.29775858523545135,0.7022414147645486,0.375,0.625,683.0,482.6666666666667,m,True,True,False,True,1,1,0,1,Acting
michael clayton,2007,1158.0,6538.0,2.0,10.0,0.15046777546777546,0.8495322245322245,0.16666666666666666,0.8333333333333334,653.8,579.0,m,True,True,False,True,2,1,0,1,Acting
midnight cowboy,1969,1478.0,11902.0,3.0,7.0,0.11046337817638266,0.8895366218236174,0.3,0.7,1700.2857142857142,492.6666666666667,m,True,True,False,False,2,1,0,0,Acting
midnight express,1978,241.0,4516.0,1.0,10.0,0.050662182047508934,0.9493378179524911,0.09090909090909091,0.9090909090909091,451.6,241.0,m,True,False,False,False,1,0,0,0,Acting
milk,2008,357.0,10769.0,2.0,12.0,0.03208700341542333,0.9679129965845766,0.14285714285714285,0.8571428571428571,897.4166666666666,178.5,m,True,False,True,False,2,0,1,0,Acting
million dollar baby,2004,2035.0,8517.0,2.0,8.0,0.19285443517816528,0.8071455648218347,0.2,0.8,1064.625,1017.5,m,True,True,True,True,2,1,1,1,Acting
misery,1990,6314.0,3630.0,3.0,3.0,0.6349557522123894,0.36504424778761063,0.5,0.5,1210.0,2104.6666666666665,f,False,True,False,True,0,1,0,1,Acting
moneyball,2011,511.0,13269.0,2.0,17.0,0.03708272859216256,0.9629172714078374,0.10526315789473684,0.8947368421052632,780.5294117647059,255.5,m,True,False,False,False,2,0,0,0,Acting
monsters ball,2001,889.0,2668.0,1.0,6.0,0.24992971605285352,0.7500702839471465,0.14285714285714285,0.8571428571428571,444.6666666666667,889.0,f,False,True,False,True,0,1,0,1,Acting
moonstruck,1987,8632.0,10068.0,7.0,10.0,0.4616042780748663,0.5383957219251337,0.4117647058823529,0.5882352941176471,1006.8,1233.142857142857,f,True,True,False,True,1,2,0,2,Acting
mr deeds goes to town,1936,5872.0,26508.0,5.0,21.0,0.1813465101914762,0.8186534898085238,0.19230769230769232,0.8076923076923077,1262.2857142857142,1174.4,m,True,False,False,False,1,0,0,0,Acting
mr smith goes to washington,1939,1220.0,18553.0,5.0,16.0,0.06170029838668892,0.9382997016133111,0.23809523809523808,0.7619047619047619,1159.5625,244.0,m,True,False,False,False,3,0,0,0,Acting
mrs brown,1997,4068.0,11684.0,4.0,8.0,0.25825292026409347,0.7417470797359066,0.3333333333333333,0.6666666666666666,1460.5,1017.0,m,False,True,False,False,0,1,0,0,Acting
music of the heart,1999,17274.0,5136.0,9.0,8.0,0.7708165997322624,0.22918340026773762,0.5294117647058824,0.47058823529411764,642.0,1919.3333333333333,f,False,True,False,False,0,1,0,0,Acting
my cousin vinny,1992,409.0,3728.0,1.0,7.0,0.09886391104665217,0.9011360889533478,0.125,0.875,532.5714285714286,409.0,m,False,True,False,True,0,1,0,1,Acting
my week with marilyn,2011,9047.0,14201.0,7.0,15.0,0.3891517549896765,0.6108482450103234,0.3181818181818182,0.6818181818181818,946.7333333333333,1292.4285714285713,f,True,True,False,False,1,1,0,0,Acting
mystic river,2003,1051.0,9709.0,3.0,11.0,0.09767657992565056,0.9023234200743494,0.21428571428571427,0.7857142857142857,882.6363636363636,350.3333333333333,m,True,True,True,False,2,1,2,0,Acting
nashville,1975,4254.0,13316.0,9.0,14.0,0.2421172453044963,0.7578827546955037,0.391304347826087,0.6086956521739131,951.1428571428571,472.6666666666667,m,False,True,False,False,0,2,0,0,Acting
nebraska,2013,2369.0,6135.0,4.0,8.0,0.27857478833490124,0.7214252116650988,0.3333333333333333,0.6666666666666666,766.875,592.25,m,True,True,False,False,1,1,0,0,Acting
network,1976,614.0,12143.0,3.0,15.0,0.04813043819079721,0.9518695618092028,0.16666666666666666,0.8333333333333334,809.5333333333333,204.66666666666666,m,True,True,True,True,3,2,1,2,Acting
nine,2009,2563.0,4795.0,5.0,5.0,0.3483283500951345,0.6516716499048655,0.5,0.5,959.0,512.6,m,False,True,False,False,0,1,0,0,Acting
ninotchka,1939,5732.0,10217.0,2.0,10.0,0.3593955733901812,0.6406044266098188,0.16666666666666666,0.8333333333333334,1021.7,2866.0,f,False,True,False,False,0,1,0,0,Acting
nixon,1995,2122.0,23865.0,6.0,22.0,0.08165621272174549,0.9183437872782545,0.21428571428571427,0.7857142857142857,1084.7727272727273,353.6666666666667,m,True,True,False,False,1,1,0,0,Acting
no country for old men,2007,1215.0,7105.0,4.0,10.0,0.14603365384615385,0.8539663461538461,0.2857142857142857,0.7142857142857143,710.5,303.75,m,True,False,True,False,1,0,1,0,Acting
norma rae,1979,2910.0,4093.0,2.0,6.0,0.41553619877195486,0.5844638012280451,0.25,0.75,682.1666666666666,1455.0,f,False,True,False,True,0,1,0,1,Acting
on golden pond,1981,2496.0,3566.0,2.0,3.0,0.4117452985813263,0.5882547014186738,0.4,0.6,1188.6666666666667,1248.0,f,True,True,True,True,1,2,1,1,Acting
on the waterfront,1954,1939.0,9292.0,2.0,12.0,0.17264713738758794,0.827352862612412,0.14285714285714285,0.8571428571428571,774.3333333333334,969.5,f,True,True,True,True,4,1,1,1,Acting
ordinary people,1980,5940.0,16816.0,4.0,6.0,0.26103005800667956,0.7389699419933204,0.4,0.6,2802.6666666666665,1485.0,m,True,True,True,False,2,1,1,0,Acting
peggy sue got married,1986,5847.0,5200.0,6.0,7.0,0.5292839684982348,0.47071603150176516,0.46153846153846156,0.5384615384615384,742.8571428571429,974.5,f,False,True,False,False,0,1,0,0,Acting
philadelphia,1993,944.0,12740.0,5.0,12.0,0.0689856767027185,0.9310143232972815,0.29411764705882354,0.7058823529411765,1061.6666666666667,188.8,m,True,False,True,False,1,0,1,0,Acting
philomena,2013,5052.0,3617.0,7.0,4.0,0.5827661783366017,0.41723382166339834,0.6363636363636364,0.36363636363636365,904.25,721.7142857142857,m,False,True,False,False,0,1,0,0,Acting
pirates of the caribbean the curse of the black pearl,2003,1273.0,8550.0,1.0,10.0,0.12959381044487428,0.8704061895551257,0.09090909090909091,0.9090909090909091,855.0,1273.0,f,True,False,False,False,1,0,0,0,Acting
platoon,1986,0.0,18530.0,0.0,19.0,0.0,1.0,0.0,1.0,975.2631578947369,0.0,m,True,False,False,False,2,0,0,0,Acting
pretty woman,1990,3444.0,3978.0,2.0,4.0,0.46402586903799514,0.5359741309620049,0.3333333333333333,0.6666666666666666,994.5,1722.0,f,False,True,False,False,0,1,0,0,Acting
pride  prejudice,2005,13437.0,5669.0,11.0,7.0,0.7032869255731183,0.2967130744268816,0.6111111111111112,0.3888888888888889,809.8571428571429,1221.5454545454545,f,False,True,False,False,0,1,0,0,Acting
primal fear,1996,3625.0,9764.0,4.0,11.0,0.2707446411233102,0.7292553588766898,0.26666666666666666,0.7333333333333333,887.6363636363636,906.25,f,True,False,False,False,1,0,0,0,Acting
private benjamin,1980,8977.0,4160.0,10.0,8.0,0.6833371393773312,0.3166628606226688,0.5555555555555556,0.4444444444444444,520.0,897.7,f,False,True,False,False,0,2,0,0,Acting
psycho,1960,2927.0,5926.0,6.0,8.0,0.33062238789111037,0.6693776121088897,0.42857142857142855,0.5714285714285714,740.75,487.8333333333333,m,False,True,False,False,0,1,0,0,Acting
pulp fiction,1994,2094.0,6749.0,4.0,8.0,0.23679746692298995,0.76320253307701,0.3333333333333333,0.6666666666666666,843.625,523.5,m,True,True,False,False,2,1,0,0,Acting
quills,2000,2313.0,8451.0,4.0,8.0,0.2148829431438127,0.7851170568561873,0.3333333333333333,0.6666666666666666,1056.375,578.25,m,True,False,False,False,1,0,0,0,Acting
quiz show,1994,951.0,12142.0,3.0,12.0,0.07263423203238371,0.9273657679676163,0.2,0.8,1011.8333333333334,317.0,m,True,False,False,False,1,0,0,0,Acting
rabbit hole,2010,4028.0,2120.0,4.0,2.0,0.6551724137931034,0.3448275862068966,0.6666666666666666,0.3333333333333333,1060.0,1007.0,m,False,True,False,False,0,1,0,0,Acting
rachel getting married,2008,10084.0,5774.0,5.0,5.0,0.6358935553033169,0.3641064446966831,0.5,0.5,1154.8,2016.8,f,False,True,False,False,0,1,0,0,Acting
raging bull,1980,2408.0,20040.0,2.0,10.0,0.10727013542409124,0.8927298645759087,0.16666666666666666,0.8333333333333334,2004.0,1204.0,m,True,True,True,False,2,1,1,0,Acting
rambling rose,1991,8582.0,21006.0,2.0,7.0,0.2900500202784913,0.7099499797215088,0.2222222222222222,0.7777777777777778,3000.8571428571427,4291.0,f,False,True,False,False,0,2,0,0,Acting
requiem for a dream,2000,3550.0,4910.0,3.0,6.0,0.41962174940898345,0.5803782505910166,0.3333333333333333,0.6666666666666666,818.3333333333334,1183.3333333333333,f,False,True,False,False,0,1,0,0,Acting
revolutionary road,2008,8686.0,10372.0,5.0,6.0,0.4557666071990765,0.5442333928009235,0.45454545454545453,0.5454545454545454,1728.6666666666667,1737.2,f,True,False,False,False,1,0,0,0,Acting
rocky,1976,590.0,8233.0,1.0,13.0,0.06687067890740112,0.9331293210925989,0.07142857142857142,0.9285714285714286,633.3076923076923,590.0,m,True,True,False,False,3,1,0,0,Acting
room,2015,4958.0,3154.0,4.0,6.0,0.6111932938856016,0.38880670611439844,0.4,0.6,525.6666666666666,1239.5,f,False,True,False,True,0,1,0,1,Acting
saving private ryan,1998,0.0,10048.0,0.0,7.0,0.0,1.0,0.0,1.0,1435.4285714285713,0.0,m,True,False,False,False,1,0,0,0,Acting
schindlers list,1993,0.0,5250.0,0.0,6.0,0.0,1.0,0.0,1.0,875.0,0.0,m,True,False,False,False,2,0,0,0,Acting
sense and sensibility,1995,23922.0,9614.0,9.0,7.0,0.7133229961832062,0.2866770038167939,0.5625,0.4375,1373.4285714285713,2658.0,f,False,True,False,False,0,2,0,0,Acting
serpico,1973,769.0,6628.0,2.0,13.0,0.10396106529674193,0.8960389347032581,0.13333333333333333,0.8666666666666667,509.84615384615387,384.5,m,True,False,False,False,1,0,0,0,Acting
shadow of the vampire,2000,1300.0,10069.0,2.0,8.0,0.11434602867446565,0.8856539713255344,0.2,0.8,1258.625,650.0,m,True,False,False,False,1,0,0,0,Acting
shakespeare in love,1998,4664.0,13924.0,5.0,13.0,0.25091456853884225,0.7490854314611577,0.2777777777777778,0.7222222222222222,1071.076923076923,932.8,m,True,True,False,True,1,2,0,2,Acting
shampoo,1975,9828.0,14924.0,5.0,9.0,0.39705882352941174,0.6029411764705882,0.35714285714285715,0.6428571428571429,1658.2222222222222,1965.6,f,True,True,False,True,1,1,0,1,Acting
sideways,2004,4958.0,22344.0,6.0,5.0,0.18159841769833712,0.8184015823016629,0.5454545454545454,0.45454545454545453,4468.8,826.3333333333334,m,True,True,False,False,1,1,0,0,Acting
six degrees of separation,1993,8173.0,12084.0,4.0,9.0,0.40346546872685984,0.5965345312731402,0.3076923076923077,0.6923076923076923,1342.6666666666667,2043.25,f,False,True,False,False,0,1,0,0,Acting
sling blade,1996,4176.0,24964.0,6.0,15.0,0.14330816746739877,0.8566918325326013,0.2857142857142857,0.7142857142857143,1664.2666666666667,696.0,m,True,False,False,False,1,0,0,0,Acting
some like it hot,1959,3737.0,11215.0,4.0,11.0,0.24993311931514178,0.7500668806848582,0.26666666666666666,0.7333333333333333,1019.5454545454545,934.25,m,True,False,False,False,1,0,0,0,Acting
somethings gotta give,2003,8159.0,7806.0,5.0,3.0,0.511055433761353,0.488944566238647,0.625,0.375,2602.0,1631.8,m,False,True,False,False,0,1,0,0,Acting
sounder,1972,2790.0,4905.0,3.0,6.0,0.36257309941520466,0.6374269005847953,0.3333333333333333,0.6666666666666666,817.5,930.0,f,True,True,False,False,1,1,0,0,Acting
spotlight,2015,902.0,13163.0,2.0,17.0,0.06413082118734448,0.9358691788126555,0.10526315789473684,0.8947368421052632,774.2941176470588,451.0,m,True,True,False,False,1,1,0,0,Acting
stalag 17,1953,0.0,14048.0,0.0,14.0,0.0,1.0,0.0,1.0,1003.4285714285714,0.0,m,True,False,True,False,2,0,1,0,Acting
starman,1984,2421.0,4138.0,1.0,8.0,0.36911114499161457,0.6308888550083854,0.1111111111111111,0.8888888888888888,517.25,2421.0,f,True,False,False,False,1,0,0,0,Acting
steve jobs,2015,4925.0,15636.0,4.0,6.0,0.2395311512085988,0.7604688487914012,0.4,0.6,2606.0,1231.25,m,True,True,False,False,1,1,0,0,Acting
still alice,2014,5537.0,3514.0,3.0,5.0,0.6117556071152359,0.3882443928847641,0.375,0.625,702.8,1845.6666666666667,f,False,True,False,True,0,1,0,1,Acting
sunset blvd,1950,5640.0,6509.0,2.0,6.0,0.46423573956704256,0.5357642604329574,0.25,0.75,1084.8333333333333,2820.0,f,True,True,False,False,2,2,0,0,Acting
sweeney todd the demon barber of fleet street,2007,3375.0,5275.0,4.0,7.0,0.3901734104046243,0.6098265895953757,0.36363636363636365,0.6363636363636364,753.5714285714286,843.75,f,True,False,False,False,1,0,0,0,Acting
syriana,2005,1189.0,16111.0,3.0,27.0,0.06872832369942196,0.931271676300578,0.1,0.9,596.7037037037037,396.3333333333333,m,True,False,True,False,1,0,1,0,Acting
taxi driver,1976,3620.0,13092.0,2.0,9.0,0.21661081857348014,0.7833891814265199,0.18181818181818182,0.8181818181818182,1454.6666666666667,1810.0,f,True,True,False,False,1,1,0,0,Acting
tender mercies,1983,3101.0,6453.0,3.0,5.0,0.3245760937827088,0.6754239062172912,0.375,0.625,1290.6,1033.6666666666667,m,True,False,True,False,1,0,1,0,Acting
terms of endearment,1983,6032.0,2080.0,5.0,7.0,0.7435897435897436,0.2564102564102564,0.4166666666666667,0.5833333333333334,297.14285714285717,1206.4,f,True,True,True,True,2,2,1,1,Acting
the apartment,1960,8562.0,22904.0,7.0,8.0,0.27210322252590097,0.727896777474099,0.4666666666666667,0.5333333333333333,2863.0,1223.142857142857,m,True,True,False,False,2,1,0,0,Acting
the assassination of jesse james by the coward robert ford,2007,2113.0,7728.0,3.0,10.0,0.2147139518341632,0.7852860481658368,0.23076923076923078,0.7692307692307693,772.8,704.3333333333334,m,True,False,False,False,1,0,0,0,Acting
the aviator,2004,2608.0,12159.0,4.0,11.0,0.17661000880341302,0.823389991196587,0.26666666666666666,0.7333333333333333,1105.3636363636363,652.0,m,True,True,False,True,2,1,0,1,Acting
the big short,2015,1449.0,8064.0,7.0,15.0,0.152317880794702,0.847682119205298,0.3181818181818182,0.6818181818181818,537.6,207.0,m,True,False,False,False,1,0,0,0,Acting
the blind side,2009,7890.0,7144.0,9.0,10.0,0.5248104296926965,0.47518957030730347,0.47368421052631576,0.5263157894736842,714.4,876.6666666666666,f,False,True,False,True,0,1,0,1,Acting
the bridges of madison county,1995,3763.0,2631.0,5.0,2.0,0.5885204879574601,0.4114795120425399,0.7142857142857143,0.2857142857142857,1315.5,752.6,m,False,True,False,False,0,1,0,0,Acting
the cider house rules,1999,2689.0,7755.0,7.0,10.0,0.2574684029107622,0.7425315970892379,0.4117647058823529,0.5882352941176471,775.5,384.14285714285717,m,True,False,True,False,1,0,1,0,Acting
the client,1994,3081.0,2553.0,2.0,13.0,0.5468583599574015,0.4531416400425985,0.13333333333333333,0.8666666666666667,196.3846153846154,1540.5,f,False,True,False,False,0,1,0,0,Acting
the cooler,2003,3662.0,14068.0,2.0,12.0,0.20654258319232938,0.7934574168076706,0.14285714285714285,0.8571428571428571,1172.3333333333333,1831.0,f,True,False,False,False,1,0,0,0,Acting
the crying game,1992,1520.0,13626.0,1.0,7.0,0.10035652977683877,0.8996434702231613,0.125,0.875,1946.5714285714287,1520.0,m,True,False,False,False,2,0,0,0,Acting
the curious case of benjamin button,2008,6542.0,6402.0,8.0,10.0,0.505407911001236,0.4945920889987639,0.4444444444444444,0.5555555555555556,640.2,817.75,f,True,True,False,False,1,1,0,0,Acting
the dark knight,2008,3246.0,30290.0,5.0,30.0,0.09679150763358779,0.9032084923664122,0.14285714285714285,0.8571428571428571,1009.6666666666666,649.2,m,True,False,True,False,1,0,1,0,Acting
the deer hunter,1978,584.0,5192.0,2.0,9.0,0.10110803324099724,0.8988919667590027,0.18181818181818182,0.8181818181818182,576.8888888888889,292.0,m,True,True,True,False,2,1,1,0,Acting
the departed,2006,2030.0,24518.0,1.0,16.0,0.07646527045351816,0.9235347295464819,0.058823529411764705,0.9411764705882353,1532.375,2030.0,f,True,False,False,False,1,0,0,0,Acting
the descendants,2011,4601.0,10291.0,5.0,8.0,0.30895782970722535,0.6910421702927746,0.38461538461538464,0.6153846153846154,1286.375,920.2,m,True,False,False,False,1,0,0,0,Acting
the devil wears prada,2006,8729.0,2741.0,5.0,5.0,0.76102877070619,0.23897122929380993,0.5,0.5,548.2,1745.8,f,False,True,False,False,0,1,0,0,Acting
the elephant man,1980,1310.0,4535.0,4.0,7.0,0.22412318220701455,0.7758768177929855,0.36363636363636365,0.6363636363636364,647.8571428571429,327.5,m,True,False,False,False,1,0,0,0,Acting
the english patient,1996,4584.0,14474.0,3.0,11.0,0.2405289117431,0.7594710882569,0.21428571428571427,0.7857142857142857,1315.8181818181818,1528.0,f,True,True,False,True,1,2,0,1,Acting
the exorcist,1973,2765.0,3607.0,3.0,8.0,0.43392969240426865,0.5660703075957313,0.2727272727272727,0.7272727272727273,450.875,921.6666666666666,f,True,True,False,False,1,2,0,0,Acting
the fabulous baker boys,1989,2807.0,10711.0,3.0,6.0,0.20764906051191004,0.79235093948809,0.3333333333333333,0.6666666666666666,1785.1666666666667,935.6666666666666,m,False,True,False,False,0,1,0,0,Acting
the fighter,2010,3744.0,10261.0,2.0,6.0,0.2673330953230989,0.7326669046769011,0.25,0.75,1710.1666666666667,1872.0,f,True,True,True,True,1,2,1,1,Acting
the fisher king,1991,2448.0,5398.0,3.0,5.0,0.31200611776701503,0.687993882232985,0.375,0.625,1079.6,816.0,m,True,True,False,True,1,1,0,1,Acting
the french connection,1971,342.0,11700.0,1.0,13.0,0.028400597907324365,0.9715994020926756,0.07142857142857142,0.9285714285714286,900.0,342.0,m,True,False,True,False,2,0,1,0,Acting
the fugitive,1993,1350.0,12890.0,4.0,22.0,0.09480337078651685,0.9051966292134831,0.15384615384615385,0.8461538461538461,585.9090909090909,337.5,m,True,False,True,False,1,0,1,0,Acting
the girl with the dragon tattoo,2011,3713.0,8965.0,6.0,10.0,0.29286953778198455,0.7071304622180155,0.375,0.625,896.5,618.8333333333334,m,False,True,False,False,0,1,0,0,Acting
the godfather,1972,962.0,11879.0,3.0,16.0,0.07491628377852193,0.9250837162214781,0.15789473684210525,0.8421052631578947,742.4375,320.6666666666667,m,True,False,True,False,4,0,1,0,Acting
the godfather part ii,1974,2346.0,14788.0,5.0,17.0,0.13692074238356483,0.8630792576164351,0.22727272727272727,0.7727272727272727,869.8823529411765,469.2,m,True,True,True,False,4,1,1,0,Acting
the goodbye girl,1977,5906.0,7320.0,5.0,2.0,0.44654468471193104,0.5534553152880689,0.7142857142857143,0.2857142857142857,3660.0,1181.2,m,True,True,True,False,1,2,1,0,Acting
the graduate,1967,6508.0,15302.0,3.0,3.0,0.2983952315451628,0.7016047684548372,0.5,0.5,5100.666666666667,2169.3333333333335,m,True,True,False,False,1,2,0,0,Acting
the grapes of wrath,1940,5346.0,18042.0,4.0,27.0,0.22857875833760902,0.771421241662391,0.12903225806451613,0.8709677419354839,668.2222222222222,1336.5,f,True,True,False,True,1,1,0,1,Acting
the green mile,1999,1095.0,11310.0,3.0,11.0,0.08827085852478839,0.9117291414752116,0.21428571428571427,0.7857142857142857,1028.1818181818182,365.0,m,True,False,False,False,1,0,0,0,Acting
the grifters,1990,8394.0,8916.0,3.0,9.0,0.48492201039861355,0.5150779896013865,0.25,0.75,990.6666666666666,2798.0,f,False,True,False,False,0,2,0,0,Acting
the help,2011,21540.0,1951.0,13.0,4.0,0.916946915840109,0.08305308415989102,0.7647058823529411,0.23529411764705882,487.75,1656.923076923077,f,False,True,False,True,0,3,0,1,Acting
the hospital,1971,2566.0,7791.0,4.0,9.0,0.2477551414502269,0.7522448585497731,0.3076923076923077,0.6923076923076923,865.6666666666666,641.5,m,True,False,False,False,1,0,0,0,Acting
the hustler,1961,1491.0,8093.0,1.0,6.0,0.15557178631051752,0.8444282136894825,0.14285714285714285,0.8571428571428571,1348.8333333333333,1491.0,f,True,True,False,False,3,1,0,0,Acting
the imitation game,2014,1836.0,8798.0,2.0,12.0,0.1726537521158548,0.8273462478841452,0.14285714285714285,0.8571428571428571,733.1666666666666,918.0,f,True,True,False,False,1,1,0,0,Acting
the insider,1999,1780.0,21188.0,4.0,13.0,0.07749912922326715,0.9225008707767328,0.23529411764705882,0.7647058823529411,1629.8461538461538,445.0,m,True,False,False,False,1,0,0,0,Acting
the iron lady,2011,4895.0,2075.0,4.0,6.0,0.7022955523672884,0.29770444763271164,0.4,0.6,345.8333333333333,1223.75,f,False,True,False,True,0,1,0,1,Acting
the judge,2014,1261.0,9648.0,3.0,10.0,0.11559262993858282,0.8844073700614172,0.23076923076923078,0.7692307692307693,964.8,420.3333333333333,m,True,False,False,False,1,0,0,0,Acting
the karate kid,1984,2142.0,6248.0,3.0,6.0,0.2553039332538737,0.7446960667461263,0.3333333333333333,0.6666666666666666,1041.3333333333333,714.0,m,True,False,False,False,1,0,0,0,Acting
the kings speech,2010,1574.0,13746.0,3.0,10.0,0.10274151436031331,0.8972584856396867,0.23076923076923078,0.7692307692307693,1374.6,524.6666666666666,m,True,True,True,False,2,1,1,0,Acting
the last samurai,2003,240.0,16556.0,1.0,8.0,0.01428911645629912,0.9857108835437008,0.1111111111111111,0.8888888888888888,2069.5,240.0,m,True,False,False,False,1,0,0,0,Acting
the last station,2009,7144.0,11926.0,3.0,8.0,0.3746198217094914,0.6253801782905086,0.2727272727272727,0.7272727272727273,1490.75,2381.3333333333335,f,True,True,False,False,1,1,0,0,Acting
the lord of the rings the fellowship of the ring,2001,1212.0,7483.0,2.0,12.0,0.13939045428407132,0.8606095457159287,0.14285714285714285,0.8571428571428571,623.5833333333334,606.0,m,True,False,False,False,1,0,0,0,Acting
the lost weekend,1945,2643.0,7882.0,3.0,7.0,0.2511163895486936,0.7488836104513064,0.3,0.7,1126.0,881.0,m,True,False,True,False,1,0,1,0,Acting
the martian,2015,2864.0,7353.0,4.0,13.0,0.2803171185279436,0.7196828814720564,0.23529411764705882,0.7647058823529411,565.6153846153846,716.0,f,True,False,False,False,1,0,0,0,Acting
the master,2012,1028.0,13654.0,4.0,9.0,0.07001770875902466,0.9299822912409753,0.3076923076923077,0.6923076923076923,1517.111111111111,257.0,m,True,True,False,False,2,1,0,0,Acting
the messenger,2009,966.0,5523.0,3.0,7.0,0.1488673139158576,0.8511326860841424,0.3,0.7,789.0,322.0,m,True,False,False,False,1,0,0,0,Acting
the mirror has two faces,1996,7264.0,5758.0,4.0,4.0,0.5578252188603902,0.4421747811396099,0.5,0.5,1439.5,1816.0,f,False,True,False,False,0,1,0,0,Acting
the pianist,2002,2578.0,8072.0,6.0,11.0,0.24206572769953053,0.7579342723004695,0.35294117647058826,0.6470588235294118,733.8181818181819,429.6666666666667,m,True,False,True,False,1,0,1,0,Acting
the piano,1993,3820.0,5640.0,5.0,4.0,0.40380549682875266,0.5961945031712473,0.5555555555555556,0.4444444444444444,1410.0,764.0,m,False,True,False,True,0,2,0,2,Acting
the poseidon adventure,1972,1156.0,4733.0,4.0,8.0,0.19629818305314994,0.8037018169468501,0.3333333333333333,0.6666666666666666,591.625,289.0,m,False,True,False,False,0,1,0,0,Acting
the queen,2006,2461.0,3096.0,3.0,5.0,0.4428648551376642,0.5571351448623358,0.375,0.625,619.2,820.3333333333334,f,False,True,False,True,0,1,0,1,Acting
the reader,2008,4716.0,9588.0,8.0,8.0,0.3296979865771812,0.6703020134228188,0.5,0.5,1198.5,589.5,m,False,True,False,True,0,1,0,1,Acting
the revenant,2015,0.0,5396.0,0.0,10.0,0.0,1.0,0.0,1.0,539.6,0.0,m,True,False,True,False,2,0,1,0,Acting
the sessions,2012,4680.0,6424.0,6.0,5.0,0.4214697406340058,0.5785302593659942,0.5454545454545454,0.45454545454545453,1284.8,780.0,m,False,True,False,False,0,1,0,0,Acting
the shawshank redemption,1994,0.0,13414.0,0.0,10.0,0.0,1.0,0.0,1.0,1341.4,0.0,m,True,False,False,False,1,0,0,0,Acting
the silence of the lambs,1991,4600.0,7333.0,4.0,11.0,0.3854856280901701,0.6145143719098299,0.26666666666666666,0.7333333333333333,666.6363636363636,1150.0,f,True,True,True,True,1,1,1,1,Acting
the sixth sense,1999,2602.0,8770.0,3.0,5.0,0.22880759760816038,0.7711924023918396,0.375,0.625,1754.0,867.3333333333334,m,True,True,False,False,1,1,0,0,Acting
the social network,2010,1990.0,18854.0,5.0,15.0,0.09547111878718097,0.904528881212819,0.25,0.75,1256.9333333333334,398.0,m,True,False,False,False,1,0,0,0,Acting
the sting,1973,216.0,6091.0,1.0,14.0,0.03424766132868241,0.9657523386713176,0.06666666666666667,0.9333333333333333,435.07142857142856,216.0,m,True,False,False,False,1,0,0,0,Acting
the stunt man,1980,4734.0,22716.0,2.0,12.0,0.17245901639344263,0.8275409836065574,0.14285714285714285,0.8571428571428571,1893.0,2367.0,f,True,False,False,False,1,0,0,0,Acting
the talented mr ripley,1999,4432.0,17732.0,4.0,8.0,0.19996390543223244,0.8000360945677676,0.3333333333333333,0.6666666666666666,2216.5,1108.0,m,True,False,False,False,1,0,0,0,Acting
the theory of everything,2014,1806.0,4099.0,3.0,9.0,0.3058425063505504,0.6941574936494496,0.25,0.75,455.44444444444446,602.0,f,True,True,True,False,1,1,1,0,Acting
the thin man,1934,5189.0,10488.0,4.0,7.0,0.3309944504688397,0.6690055495311603,0.36363636363636365,0.6363636363636364,1498.2857142857142,1297.25,m,True,False,False,False,1,0,0,0,Acting
the town,2010,2716.0,9466.0,2.0,8.0,0.2229518962403546,0.7770481037596454,0.2,0.8,1183.25,1358.0,f,True,False,False,False,1,0,0,0,Acting
the truman show,1998,670.0,4526.0,2.0,4.0,0.12894534257120863,0.8710546574287914,0.3333333333333333,0.6666666666666666,1131.5,335.0,m,True,False,False,False,1,0,0,0,Acting
the usual suspects,1995,325.0,11428.0,1.0,11.0,0.027652514251680423,0.9723474857483195,0.08333333333333333,0.9166666666666666,1038.909090909091,325.0,m,True,False,True,False,1,0,1,0,Acting
the verdict,1982,1376.0,19654.0,2.0,9.0,0.0654303376129339,0.9345696623870661,0.18181818181818182,0.8181818181818182,2183.777777777778,688.0,m,True,False,False,False,2,0,0,0,Acting
the wolf of wall street,2013,1431.0,15721.0,2.0,14.0,0.08343050373134328,0.9165694962686567,0.125,0.875,1122.9285714285713,715.5,m,True,False,False,False,2,0,0,0,Acting
the wrestler,2008,3392.0,7132.0,2.0,9.0,0.32231090839984794,0.677689091600152,0.18181818181818182,0.8181818181818182,792.4444444444445,1696.0,f,True,True,False,False,1,1,0,0,Acting
