character,words,gender,age,title,year,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
betty,311,f,35.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
francesca johns,2251,f,46.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
madge,190,f,46.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
michael johnson,723,m,38.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
robert kincaid,1908,m,65.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
'smokin' joe fr,150,m,33.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
angelo dundee,318,m,55.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
belinda ali,566,f,27.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
bradley,128,m,51.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
chauncey eskrid,247,m,54.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
don king,398,m,44.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
drew 'bundini' ,708,m,34.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
elijah muhammad,206,m,64.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
howard bingham,188,m,36.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
howard cosell,575,m,63.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
jabir herbert m,232,m,47.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
joe smiley,128,m,44.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
malcolm x,662,m,44.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
muhammad ali,4042,m,33.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
sonji roi,291,f,30.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
antonio salieri,1919,m,45.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
archbishop coll,150,m,52.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
baron van swiet,246,m,61.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
constanze mozar,1406,f,22.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
count orsini-ro,303,m,54.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
count von strac,155,m,52.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
emanuel schikan,702,m,35.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
emperor joseph ,946,m,38.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
father vogler,309,m,31.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
katerina cavali,271,f,31.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
leopold mozart,646,m,61.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
lorl,307,f,18.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
michael schlumb,410,m,52.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
parody commenda,107,m,50.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
salieri's valet,149,m,36.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
wolfgang amadeu,3826,m,31.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
charlie william,115,m,60.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
detective trupo,377,m,39.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
frank lucas,2480,m,53.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
freddie spearma,140,m,48.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
huey lucas,529,m,30.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
javier j. river,392,m,39.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
laurie roberts,190,f,36.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
lou toback,318,m,50.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
mama lucas,173,f,85.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
moses jones,103,m,38.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
mp,168,m,40.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
nate,175,m,48.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
richie roberts,2217,m,43.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
tango,140,m,35.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
us attorney,222,m,45.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
bob falfa,248,m,31.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
budda,226,f,22.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
carlos,131,m,18.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
carol,729,f,14.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
curt,1240,m,26.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
debbie,735,f,26.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
disc jockey,622,m,35.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
joe,559,m,35.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
john,1472,m,28.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
laurie,642,f,26.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
mr. wolfe,157,m,31.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
steve,889,m,19.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
terry,1604,m,20.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
allison,141,f,25.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
alvy singer,7661,m,42.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
annie hall,3719,f,31.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
doctor,135,m,56.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
man in theatre ,267,m,36.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
mom hall,110,f,53.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
rob,567,m,38.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
robin,172,f,34.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
tony lacey,364,m,36.0,annie hall,1977,m,True,True,False,True,1,1,0,1,Acting
anthony,191,m,28.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
dr. kaufman,762,m,45.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
dr. malcolm say,4998,m,39.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
leonard lowe,2469,m,47.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
lucy,189,f,62.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
mrs. lowe,725,f,85.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
neurochemist,176,m,37.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
nurse margaret,315,f,49.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
paula,509,f,26.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
rose,133,f,64.0,awakenings,1990,m,True,False,False,False,1,0,0,0,Acting
audrey taylor,505,f,36.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
barton fink,3418,m,34.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
ben geisler,573,m,38.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
charlie meadows,2130,m,39.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
detective deuts,210,m,48.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
detective mastr,296,m,44.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
garland stanfor,321,m,57.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
jack lipnick,1626,m,50.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
lou breeze,131,m,41.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
w.p. mayhew,524,m,51.0,barton fink,1991,m,True,False,False,False,1,0,0,0,Acting
bettina peterso,148,f,35.0,cast away,2000,m,True,False,False,False,1,0,0,0,Acting
chuck noland,4034,m,44.0,cast away,2000,m,True,False,False,False,1,0,0,0,Acting
kelly frears,563,f,37.0,cast away,2000,m,True,False,False,False,1,0,0,0,Acting
stan,565,m,41.0,cast away,2000,m,True,False,False,False,1,0,0,0,Acting
captain j.j. jo,1596,m,40.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
carol dexter,450,f,40.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
chairman thorpe,281,m,43.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
chief james e. ,663,m,50.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
christine colli,3444,f,33.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
david clay,365,m,13.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
detective leste,879,m,39.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
dr. earl w. tar,601,m,68.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
dr. john montgo,123,m,40.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
dr. jonathan st,476,m,46.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
gordon northcot,756,m,38.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
judge,192,m,59.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
mayor cryer,255,m,54.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
reporter,119,m,25.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
rev. gustav bri,1116,m,55.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
s.s. hahn,662,m,59.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
sanford clark,464,m,14.0,changeling,2008,f,False,True,False,False,0,1,0,0,Acting
arthur rose,1428,m,47.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
buster,204,m,17.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
candy kendall,1101,f,24.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
dr. wilbur larc,2202,m,66.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
fuzzy,113,m,8.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
homer wells,2368,m,24.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
lt. wally worth,653,m,30.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
mary agnes,115,f,15.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
mrs. goodhall,104,f,67.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
muddy,305,m,34.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
nurse angela,349,f,49.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
nurse edna,438,f,60.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
olive worthingt,232,f,49.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
peaches,191,m,32.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
ray kendall,116,m,44.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
rose rose,350,f,28.0,the cider house rules,1999,m,True,False,True,False,1,0,1,0,Acting
city editor,131,m,63.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
emily monroe no,583,f,25.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
herbert carter,300,m,56.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
jedediah leland,1884,m,36.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
jerry thompson,739,m,25.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
kane,4656,m,26.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
mr. bernstein,1650,m,32.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
mr. rawlston,275,m,37.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
raymond,365,m,33.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
susan alexander,1657,f,28.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
walter parks th,581,m,38.0,citizen kane,1941,f,True,False,False,False,1,0,0,0,Acting
angela,108,f,36.0,the deer hunter,1978,m,True,True,True,False,2,1,1,0,Acting
john,179,m,33.0,the deer hunter,1978,m,True,True,True,False,2,1,1,0,Acting
linda,476,f,29.0,the deer hunter,1978,m,True,True,True,False,2,1,1,0,Acting
nick,1720,m,35.0,the deer hunter,1978,m,True,True,True,False,2,1,1,0,Acting
wedding man,139,m,36.0,the deer hunter,1978,m,True,True,True,False,2,1,1,0,Acting
buggin' out,575,m,31.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
charlie,107,m,50.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
da mayor,700,m,72.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
jade,388,f,27.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
ml,298,m,51.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
mookie,1158,m,32.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
mother sister,325,f,67.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
pino,567,m,32.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
radio raheem,259,m,36.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
salvatore 'sal',853,m,56.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
sweet dick will,137,m,36.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
tina,357,f,25.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
vito,196,m,35.0,do the right thing,1989,m,True,False,False,False,1,0,0,0,Acting
jenny,131,f,23.0,dog day afternoon,1975,m,True,False,False,False,2,0,0,0,Acting
leon,997,m,33.0,dog day afternoon,1975,m,True,False,False,False,2,0,0,0,Acting
moretti,1107,m,52.0,dog day afternoon,1975,m,True,False,False,False,2,0,0,0,Acting
mulvaney,709,m,52.0,dog day afternoon,1975,m,True,False,False,False,2,0,0,0,Acting
sal,459,m,40.0,dog day afternoon,1975,m,True,False,False,False,2,0,0,0,Acting
sonny,4962,m,35.0,dog day afternoon,1975,m,True,False,False,False,2,0,0,0,Acting
barton keyes,2897,m,51.0,double indemnity,1944,f,False,True,False,False,0,1,0,0,Acting
edward s. norto,629,m,40.0,double indemnity,1944,f,False,True,False,False,0,1,0,0,Acting
lola dietrichso,1004,f,23.0,double indemnity,1944,f,False,True,False,False,0,1,0,0,Acting
mr. jackson,321,m,56.0,double indemnity,1944,f,False,True,False,False,0,1,0,0,Acting
nino zachetti,105,m,27.0,double indemnity,1944,f,False,True,False,False,0,1,0,0,Acting
phyllis dietric,2559,f,37.0,double indemnity,1944,f,False,True,False,False,0,1,0,0,Acting
sam garlopis,127,m,49.0,double indemnity,1944,f,False,True,False,False,0,1,0,0,Acting
walter neff,5704,m,36.0,double indemnity,1944,f,False,True,False,False,0,1,0,0,Acting
bess throckmort,754,f,25.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
dr. john dee,283,m,54.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
king philip ll ,152,m,39.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
lord howard,154,m,65.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
mary stuart,502,f,30.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
queen elizabeth,2482,f,38.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
robert reston,172,m,40.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
sir amyas paule,161,m,40.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
sir christopher,146,m,29.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
sir francis wal,755,m,56.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
sir walter rale,1453,m,43.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
ursula walsingh,110,f,44.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
william walsing,192,m,43.0,elizabeth the golden age,2007,f,False,True,False,False,0,1,0,0,Acting
broadneck,454,m,60.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
bytes,479,m,53.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
carr gomm,1306,m,76.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
fox,126,m,46.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
frederick treve,191,m,43.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
john merrick,1378,m,40.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
mothershead,524,f,68.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
mrs. kendal,346,f,49.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
night porter,601,m,34.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
nora,211,f,24.0,the elephant man,1980,m,True,False,False,False,1,0,0,0,Acting
carl fidelio du,347,m,42.0,five easy pieces,1970,m,True,True,False,False,1,1,0,0,Acting
catherine van o,779,f,28.0,five easy pieces,1970,m,True,True,False,False,1,1,0,0,Acting
elton,382,m,35.0,five easy pieces,1970,m,True,True,False,False,1,1,0,0,Acting
palm apodaca,687,f,32.0,five easy pieces,1970,m,True,True,False,False,1,1,0,0,Acting
partita dupea,812,f,40.0,five easy pieces,1970,m,True,True,False,False,1,1,0,0,Acting
rayette dipesto,1263,f,31.0,five easy pieces,1970,m,True,True,False,False,1,1,0,0,Acting
robert eroica d,2313,m,33.0,five easy pieces,1970,m,True,True,False,False,1,1,0,0,Acting
samia glavia,301,f,50.0,five easy pieces,1970,m,True,True,False,False,1,1,0,0,Acting
abbie hoffman,101,m,34.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
bubba blue,475,m,37.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
drill sergeant,129,m,44.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
forrest gump,5446,m,38.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
hilary,108,f,38.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
Lieutenant Dan ,1228,m,39.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
Local Anchor #1,162,m,59.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
mrs. gump,490,f,48.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
young jenny cur,951,f,10.0,forrest gump,1994,m,True,False,True,False,2,0,1,0,Acting
amsterdam vallo,2871,m,28.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
bill 'the butch,1765,m,45.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
happy jack mulr,111,m,37.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
jenny everdeane,1291,f,30.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
jimmy spoils,158,m,31.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
johnny sirocco,1204,m,31.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
killoran,513,m,34.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
p.t. barnum,180,m,45.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
reverend raleig,103,m,77.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
shang,456,m,29.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
walter 'monk' m,460,m,47.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
william 'boss' ,1851,m,53.0,gangs of new york,2002,m,True,False,False,False,1,0,0,0,Acting
barbara drummon,1774,f,33.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
dr. brubaker,612,m,28.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
dr. herbert boc,3823,m,44.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
dr. sundstrom,593,m,53.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
dr. welbeck,776,m,42.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
drummond,864,m,56.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
hitchcock,188,m,34.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
milton mead,366,m,47.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
mrs. christie,334,f,43.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
mrs. cushing,319,f,41.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
nurse perez,139,f,25.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
opening narrato,261,m,48.0,the hospital,1971,m,True,False,False,False,1,0,0,0,Acting
colonel oliver,581,m,63.0,hotel rwanda,2004,m,True,True,False,False,1,1,0,0,Acting
general bizimun,470,m,33.0,hotel rwanda,2004,m,True,True,False,False,1,1,0,0,Acting
george rutagand,160,m,42.0,hotel rwanda,2004,m,True,True,False,False,1,1,0,0,Acting
paul rusesabagi,3563,m,40.0,hotel rwanda,2004,m,True,True,False,False,1,1,0,0,Acting
tatiana rusesab,599,f,36.0,hotel rwanda,2004,m,True,True,False,False,1,1,0,0,Acting
thomas mirama,161,m,33.0,hotel rwanda,2004,m,True,True,False,False,1,1,0,0,Acting
'badge of honor,114,m,39.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
bud white,1464,m,33.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
d.a. ellis loew,350,m,58.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
dick stensland,156,m,48.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
dudley smith,821,m,57.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
ed exley,2369,m,30.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
jack vincennes,1016,m,38.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
johnny stompana,201,m,32.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
lynn bracken,872,f,44.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
mrs. lefferts,248,f,51.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
pierce patchett,378,m,48.0,la confidential,1997,m,False,True,False,True,0,1,0,1,Acting
aragorn,440,m,43.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
arwen,355,f,24.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
bilbo,940,m,70.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
boromir,801,m,42.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
elrond,489,m,41.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
frodo,800,m,20.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
galadriel,857,f,32.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
gandalf,2194,m,62.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
gimli,357,m,57.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
legolas,147,m,24.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
merry,204,m,25.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
pippin,177,m,33.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
sam,439,m,30.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
saruman,495,m,79.0,the lord of the rings the fellowship of the ring,2001,m,True,False,False,False,1,0,0,0,Acting
brother earl,103,m,34.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
dr. betty shaba,564,f,34.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
elijah muhammad,370,m,58.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
louise little,146,f,38.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
malcolm x,5534,m,38.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
shorty,317,m,35.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
sidney,128,m,42.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
sophia,149,f,31.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
west indian arc,408,m,40.0,malcolm x,1992,m,True,False,False,False,1,0,0,0,Acting
anne kronenberg,253,f,23.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
cleve jones,842,m,23.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
dan white,114,m,40.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
david goodstein,271,m,63.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
dick pabich,239,m,22.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
harvey milk,6743,m,48.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
jack lira,439,m,29.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
jim rivaldo,325,m,38.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
john briggs,356,m,46.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
mayor moscone,152,m,59.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
scott smith,920,m,30.0,milk,2008,m,True,False,True,False,2,0,1,0,Acting
ahmet,243,m,49.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
billy hayes,1491,m,29.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
erich,241,m,32.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
hamidou,197,m,42.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
jimmy booth,793,m,28.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
max,560,m,38.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
susan,241,f,24.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
tex,172,m,40.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
yesil,248,m,31.0,midnight express,1978,m,True,False,False,False,1,0,0,0,Acting
arthur nagle,463,m,33.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
barney alvorg,201,m,84.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
carol heath,399,f,35.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
charlie bodell,2095,m,22.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
elizabeth alvor,169,f,75.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
evelyn kelcher,502,f,51.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
jack kelcher,626,m,57.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
maddy nagle,299,f,30.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
michael fitzsim,547,m,23.0,peggy sue got married,1986,f,False,True,False,False,0,1,0,0,Acting
